name,marks,total_marks,grade
Aarav,78.0,78,B
Aditya,100.0,67,C
Vihaan,90.0,90,A
Arjun,99.9,72,C
Sai,88.0,88,B
Reyansh,55.0,55,D
Krishna,91.0,91,A
Ishaan,64.0,64,C
Shaurya,73.0,73,C
Atharva,99.9,82,B
Dhruv,69.0,69,C
Kabir,95.0,95,A
Rudra,58.0,58,D
Ansh,76.0,76,B
Yash,99.9,84,B
Om,61.0,61,C
Kunal,79.0,79,B
Harsh,66.0,66,C
Rohan,92.0,92,A
Aryan,74.0,74,C
Dev,81.0,81,B
Manav,68.0,68,C
Shiv,87.0,87,B
Tanish,53.0,53,D
Parth,77.0,77,B
Nikhil,89.0,89,B
Amit,62.0,62,C
Rahul,71.0,71,C
Siddharth,93.0,93,A
Varun,65.0,65,C
Akash,80.0,80,B
Gaurav,59.0,59,D
Pranav,86.0,86,B
Neeraj,75.0,75,B
Mohit,83.0,83,B
Abhishek,70.0,70,C
Sahil,91.0,91,A
Aniket,57.0,57,D
Deepak,78.0,78,B
Vikas,88.0,88,B
Sumit,63.0,63,C
Tarun,72.0,72,C
Karan,85.0,85,B
Rajat,67.0,67,C
Piyush,90.0,90,A
Lokesh,74.0,74,C
Himanshu,82.0,82,B
Jatin,60.0,60,C
